goods_id,goods_name,steam_price_cny(¥),steam_price($),buff_price(¥)
35878,“血猎大行动”通行证（已过期）,251.04,38.79,199.96
35880,“英勇大行动”通行证（已过期）,1079.17,166.75,779.0
35881,“突围大行动”通行证（已过期）,327.73,50.64,251.92
35884,“九头蛇大行动”通行证（已过期）,141.54,21.87,104.5
35887,“回赠大行动”通行证（已过期）,1467.29,226.72,1000.0
35889,“凤凰大行动”通行证（已过期）,586.28,90.59,428.0
35891,“先锋大行动”通行证（已过期）,3581.82,553.45,3000.0
35894,“野火大行动”通行证（已过期）,805.29,124.43,550.44
768165,卡托维兹 2019 观众通行证（已过期）,305.73,47.24,229.8
771958,柏林2019观众通行证（已过期）,85.82,13.26,65.0
771970,柏林2019观众通行证+3枚纪念品代币（已过期）,350.71,54.19,295.0
774768,“裂网大行动”通行证（已过期）,171.18,26.45,115.57
835330,“狂牙大行动”通行证（已过期）,87.11,13.46,60.0
